,epoch,train_loss,val_loss
0,1,0.8746449756913068,0.6814837147082601
1,2,0.6143182706542132,0.6086672891159447
2,3,0.5783459151663431,0.5934678674960623
3,4,0.5667545565744726,0.5859312378630346
4,5,0.5595389812457853,0.5821302489054446
5,6,0.5571186530880812,0.5787314453295299
6,7,0.5545617987469929,0.5766253638632444
7,8,0.5506902576946631,0.5739706310690665
8,9,0.5474386048026201,0.5723337847359327
9,10,0.5453349391134774,0.5707653625583162
10,11,0.5404274168537884,0.5691069942347857
11,12,0.5423459311810935,0.5683672236544746
12,13,0.5402798164181593,0.5673863995744257
13,14,0.5387098592955891,0.5663936834554283
14,15,0.5377384342798373,0.5659040717446074
15,16,0.5327824211702115,0.5645571279586578
16,17,0.5360278770691012,0.5638815324221339
17,18,0.5350358880147701,0.5634750723838806
18,19,0.5336282472784927,0.5630095289373884
19,20,0.5334139950391723,0.5628959442279777
20,21,0.5281988748689977,0.5623619871176019
21,22,0.532509461263331,0.5623322196152746
22,23,0.5310828662500149,0.5618325924994995
23,24,0.5306237972364193,0.5617316055054568
24,25,0.5297024335803056,0.561553173831531
25,26,0.5260948301815405,0.561392608953982
26,27,0.5297274522665071,0.5612826940356469
27,28,0.5290569405730178,0.560983879073542
28,29,0.5287861944698706,0.5607071312106385
29,30,0.5280600336993613,0.5607220936490565
30,31,0.5240675302540384,0.5604624225168812
31,32,0.5279959729531917,0.5604450752844616
32,33,0.527207942997537,0.5601493343710899
33,34,0.5266056793492014,0.5598983375393615
34,35,0.5259737120895851,0.5599126353555796
35,36,0.5228967307544337,0.5597755534916508
36,37,0.5257478456671645,0.5598390648255542
37,38,0.5252344730423718,0.5597827370677676
38,39,0.5251906370244375,0.5595203340053558
39,40,0.5246988494221757,0.5597333816849456
40,41,0.5216240195239462,0.5597138777375221
41,42,0.5246402695411589,0.5597490265357251
42,43,0.5243839781458784,0.5599243777747057
43,44,0.5244925496054859,0.560067600893731
44,45,0.5240548301033857,0.5599669035600157
45,46,0.5208113053949868,0.5597850981415534
46,47,0.5238257476469366,0.5596700664989802
47,48,0.5237958076523571,0.5596252567305857
48,49,0.5232679497904894,0.5593456907235846
49,50,0.5231606016798718,0.5595937923205142
50,51,0.520162569749646,0.5591700817553364
51,52,0.5233249822767769,0.5591046550140089
52,53,0.5228865592944912,0.5589780155189183
53,54,0.5224039574948752,0.5589021140215348
54,55,0.5222068474060152,0.5590640902519226
55,56,0.5195837808818352,0.5589119104706511
56,57,0.5220433238076001,0.5586860452075394
57,58,0.5220759455750629,0.5587211087041971
58,59,0.5218060320470391,0.5586909224488297
59,60,0.5217547996741969,0.5588090103499743
60,61,0.5190403417843145,0.558737263539616
61,62,0.5213326587909606,0.5589051433667844
62,63,0.5213925793403532,0.5591850113503787
63,64,0.5211922719711211,0.5592741911508599
64,65,0.5211948996636926,0.5592347777315548
65,66,0.5186725276272471,0.5591486218024273
66,67,0.5209710695394656,0.5591347942851028
67,68,0.5209042860240471,0.5588894337415695
68,69,0.5206733556782327,0.5590452536636469
69,70,0.5204373321882109,0.5587740732090813
70,71,0.5181847537436136,0.5588833499623804
71,72,0.5205352895143556,0.5589164360141268
72,73,0.5202768759029668,0.5589863568240282
73,74,0.5203185596117159,0.5588351185528599
74,75,0.5200588650819732,0.5589862167835236
75,76,0.5177499375692228,0.5589958325940736
76,77,0.519990349688181,0.5589251358594213
77,78,0.5198539935961002,0.559004867259337
78,79,0.5197791878770037,0.5590902723524035
79,80,0.5197971451573256,0.5590576118960673
80,81,0.5175254227184668,0.559199718340319
81,82,0.5194447970971828,0.5593647987258678
82,83,0.5194965776873798,0.5594071589258253
83,84,0.5191334327546562,0.5592719655559988
84,85,0.5193297425421273,0.5592764559753087
85,86,0.5171963553603103,0.5592533939955185
86,87,0.5191541834575374,0.5590040931592182
87,88,0.5189422217811026,0.559148120028632
88,89,0.5189936037470655,0.5594455820261216
89,90,0.5188806775139599,0.5593217853076604
90,91,0.5169397250908178,0.5593205947352915
91,92,0.5187072580907403,0.5594624685389655
92,93,0.5185500527300486,0.5595111145961041
93,94,0.5187007113200862,0.5593856401285346
94,95,0.5186185956001281,0.5592817528819551
95,96,0.5167134644054785,0.5595084337555633
96,97,0.5185410108508133,0.5594858571278806
97,98,0.5186418326889596,0.5595460257359913
98,99,0.5184104300126797,0.5597168432206524
99,100,0.518214637913355,0.5597482396631824
